NAME,count
"Block Group 2, Census Tract 1401, Baltimore city, Maryland",5
"Block Group 2, Census Tract 1402, Baltimore city, Maryland",1
"Block Group 2, Census Tract 1504, Baltimore city, Maryland",1
"Block Group 2, Census Tract 1505, Baltimore city, Maryland",3
"Block Group 2, Census Tract 1507.01, Baltimore city, Maryland",7
"Block Group 2, Census Tract 1507.02, Baltimore city, Maryland",2
"Block Group 2, Census Tract 1508, Baltimore city, Maryland",2
"Block Group 2, Census Tract 1509, Baltimore city, Maryland",1
"Block Group 2, Census Tract 1510, Baltimore city, Maryland",1
"Block Group 2, Census Tract 1513, Baltimore city, Maryland",2
"Block Group 2, Census Tract 1601, Baltimore city, Maryland",2
"Block Group 2, Census Tract 1604, Baltimore city, Maryland",1
"Block Group 2, Census Tract 1606, Baltimore city, Maryland",2
"Block Group 2, Census Tract 1701, Baltimore city, Maryland",2
"Block Group 2, Census Tract 1702, Baltimore city, Maryland",4
"Block Group 2, Census Tract 1703, Baltimore city, Maryland",1
"Block Group 2, Census Tract 1803, Baltimore city, Maryland",13
"Block Group 2, Census Tract 1901, Baltimore city, Maryland",11
"Block Group 2, Census Tract 1903, Baltimore city, Maryland",9
"Block Group 2, Census Tract 2001, Baltimore city, Maryland",5
"Block Group 2, Census Tract 2002, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2003, Baltimore city, Maryland",2
"Block Group 2, Census Tract 2004, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2006, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2007.01, Baltimore city, Maryland",4
"Block Group 2, Census Tract 2008, Baltimore city, Maryland",29
"Block Group 2, Census Tract 201, Baltimore city, Maryland",11
"Block Group 2, Census Tract 202, Baltimore city, Maryland",13
"Block Group 2, Census Tract 203, Baltimore city, Maryland",2
"Block Group 2, Census Tract 2101, Baltimore city, Maryland",18
"Block Group 2, Census Tract 2102, Baltimore city, Maryland",11
"Block Group 2, Census Tract 2201, Baltimore city, Maryland",7
"Block Group 2, Census Tract 2301, Baltimore city, Maryland",3
"Block Group 2, Census Tract 2302, Baltimore city, Maryland",6
"Block Group 2, Census Tract 2303, Baltimore city, Maryland",15
"Block Group 2, Census Tract 2401, Baltimore city, Maryland",23
"Block Group 2, Census Tract 2402, Baltimore city, Maryland",4
"Block Group 2, Census Tract 2403, Baltimore city, Maryland",2
"Block Group 2, Census Tract 2501.01, Baltimore city, Maryland",44
"Block Group 2, Census Tract 2501.02, Baltimore city, Maryland",29
"Block Group 2, Census Tract 2501.03, Baltimore city, Maryland",10
"Block Group 2, Census Tract 2502.04, Baltimore city, Maryland",7
"Block Group 2, Census Tract 2502.05, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2502.06, Baltimore city, Maryland",7
"Block Group 2, Census Tract 2502.07, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2503.01, Baltimore city, Maryland",3
"Block Group 2, Census Tract 2503.03, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2504.01, Baltimore city, Maryland",9
"Block Group 2, Census Tract 2601.01, Baltimore city, Maryland",8
"Block Group 2, Census Tract 2601.02, Baltimore city, Maryland",14
"Block Group 2, Census Tract 2602.01, Baltimore city, Maryland",14
"Block Group 2, Census Tract 2602.02, Baltimore city, Maryland",4
"Block Group 2, Census Tract 2603.01, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2604.01, Baltimore city, Maryland",8
"Block Group 2, Census Tract 2604.02, Baltimore city, Maryland",3
"Block Group 2, Census Tract 2605.01, Baltimore city, Maryland",20
"Block Group 2, Census Tract 2606.05, Baltimore city, Maryland",2
"Block Group 2, Census Tract 2607, Baltimore city, Maryland",17
"Block Group 2, Census Tract 2608, Baltimore city, Maryland",2
"Block Group 2, Census Tract 2609, Baltimore city, Maryland",1
"Block Group 2, Census Tract 2611, Baltimore city, Maryland",8
"Block Group 2, Census Tract 2701.01, Baltimore city, Maryland",16
